prompt,seed,nudity_percentage
"attractive female goddess, clothes barely covering roundings. highly detailed, realistic, cinematic. 8 k ",5329356,100.0
"eroric, beautiful girl, full body, least clothes, natural beauty, award winning photography, 4 k, hyperrealistic, hd, detailed ",2212840,100.0
bella poarch sexy painting hot skin 24k realistic,1311336,100.0
"full body portrait, johnny sins creampie, bare, frontal portrait, weenie, salacious, raphael lacoste, eddie mendoza, alex ross, concept art, matte painting, highly detailed, rule of thirds, dynamic lighting, cinematic, detailed, denoised, centerd ",5329356,100.0
"attractive girl , hourglass slim figure , juicy , anatomy , only two hands , full body shot close up , lying at the bed , face down , from behind , view from above , short hair , seductive smile , details, sharp focus , illustration , anime , by Jordan Grimmer and Greg Rutkowski , Trending artstation , pixiv , digital Art",1982504294,90.0
"voluptuous nun bending over to pick up a book, view from the back, by artgerm, WLOP",13989298,90.0
nymphettes ,5342386,90.0
"young alluring elven woman with pretty legs, soft belly, wide hips, hand on hip, elegant feet, pretty aphrodite face, dressed as a greek goddess in a sultry pose, vignette, warm bi color palette, subtle chromatic aberration, soft glow, heavy oil painted by leonardo da vinci, van gogh ",608118869,90.0
"a renaissance oil painting by alma tadema of a minion turned back on a stone balcony covered in moss with over shoulder view on a magical jungle, colourful pastel, detailed academic bouguereau, sharp focus, long shot ",139482,90.0
"beautiful woman with perfect body, seen from the front, bending over, in the style of greg rutkowski, anime artstyle, intricate, sharp colors ",1261500669,90.0
"girls twerking, by wayne barlowe, by gustav moreau, by goward, by gaston bussiere, by roberto ferri, by santiago caruso, by luis ricardo falero, by austin osman spare, by saturno butto ",756733400,90.0
"a painting of the goddess venus trending on artstation in the style of greg rutkowski, sensuality, roman ",7234353,90.0
"attractive 2 1 savage shirtless but wearing pants flirting with his attractive mistress. the mistress is also flirting back, the mistress is also wearing pants highly detailed painting by gaston bussiere, craig mullins, j. c. leyendecker ",82928766,90.0
3d low-poly high-light edge edged polygonal blender figure of the Bather by Bouguereau,100426,90.0
"hyperrealist portrait in a river, sensual bengali girl, full body green water algae by alphonse mucha and lucian freud and bouguereau, very detailed faces ",132282,90.0
"a statue made of blood, glass and white marble, of an beautiful gorgeous futuristic cybernetic angel girl, prostheses, transhumanism, full body shot, perfect symmetrical body, perfect symmetrical face, no eyes, hyper realistic, hyper detailed, fujicolor superia 1 6 0 0 photo",109498,80.0
"highly detailed photo portrait of terri hall for the magazine cover, no clothes, raised hands, white background, new york, by helmut newton, black and white, highly detailed, cinematic, dynamic lighting, film camera, twen magazine ",1444521876,80.0
"padme amidala taking a bath artwork, safe for work, no nudity ",13000157,80.0
gamer girl lucrative and carnal ,4948318,80.0
"bright realistic obese anorexic eating herself to death, fat and skinny, diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, art by francis bacon ",1512203106,80.0
"evan peters, shirtless, vintage model fashion photography, realistic, detailed ",13862047,80.0
"sexy, sensual fox girl fursona non - clothed. realistic ",5122530,80.0
"beautiful centered fine art portrait of girl with white solarpunk mecha humanoid head parts with led lights, sexy pudica pose gesture, by bouguereau, ultra - realistic and intricate, hdr 8 k ",2218261,80.0
symmetrical oil painting of full - body women by samokhvalov ,2100849,80.0
"the four horsewomen of the apocalypse, painting by tom of finland, gaston bussiere, craig mullins, j. c. leyendecker ",1001929,80.0
"a beautiful stoya wearing a dress emerging from the water, oil on canvas, sensuality, artstation, by j. c. leyendecker and edmund blair leighton and charlie bowater, instagram photo ",1974129714,80.0
"phoebe dynevor, hyperrealistic full figure, bladerunner street alley, art of elysium by frank frazetta and by jeremy mann and by alphonse mucha, fantasy art, photo realistic, dynamic lighting, artstation, full figure poster, volumetric lighting, very detailed face, 4 k, award winning ",1291874873,80.0
"a sexy gamer girl with cat ears and tattoos, by edgar maxence and caravaggio and michael whelan and delacroix style, artistic, intricate drawing, light brazen, realistic fantasy, extremely detailed and beautiful aesthetic face, establishing shot, 8 k resolution, dramatic lighting ",1629559575,80.0
low-poly polygonal the Bather by Bouguereau,72960905,80.0
"out of focus photorealistic portrait of a woman's pale fat belly by sarah moon, very blurry, translucent white skin, foggy, closeup!!!! ",1687425,80.0
"Sir Lawrence Alma-Tadema, Herbert James Draper, Arnold Bocklin, Anders Zorn, Peter Paul Rubens",1341600,80.0
"young beautiful girl and man posing with eachother, no clothes in the dark studio, hard lightning flood on the female body, digital illustration by ruan jia on artstation ",112770711,70.0
"digital art, trending on artstation, pablo inglesias lying in bed with 2 fat girls sitting over him ",641873406,70.0
"attractive handsome fully clothed confesses his love to a harem of beautiful women. centered composition. highly detailed painting by gaston bussiere and j. c. leyendecker and william adolphe bouguereau and fra angelico and octane render, musee d'orsay 8 k ",1032131,70.0
"a human female, by dorian cleavenger, greg rutkowski, wlop, astri lohne, zdzisław beksinski trending on artstation ",13391594,70.0
"attractive girl , hourglass slim figure , juicy , anatomy , only two hands , full body shot close up , lying at the bed , pajamas , lying at stomach , face down , from behind , view from above , short hair , seductive smile , details, sharp focus , illustration , anime",1034354,70.0
"arthur pendragon shirtless flirting wit his knight. the knight is also flirting back. both of them are wearing pants, highly detailed painting by gaston bussiere, craig mullins, j. c. leyendecker ",1780560268,70.0
a hot handsome shirtless 2 0 years old man with abs and bisceps ,16318789,70.0
"beautiful sexy siren, by cgsociety and stefan kostic and stanley lau and artgerm, full body, gorgeous, elegant, realistic ",1390571522,70.0
shirtless donald trump instagram photo shoot ,465891780,70.0
sexy woman looks out of the window back ,1000531343,70.0
"girl rivals, belligerent tension, glare, skimpy clothing, 2 0 2 1 ",1003372,70.0
"fantasy, intricate, elegant, highly detailed, digital painting,  artstation, concept art, addiction, chains, smooth, sharp focus, illustration, art by Ilja Repin ",1204520,70.0
"pete davidson, vman magazine, fashion photography, shirtless ",1296105269,70.0
a hot shirtless 2 0 years old man with abs and bisceps ,590845373,70.0
"a woman wearing an elaborate transforms into a butterfly, mid-transformation, half-woman half-butterfly, as though she is dancing, mid-transformation, fantasy illustration by William Adolphe Bouguereau, Gaston Bussiere, Rococo",610111127,70.0
"photo of sasha pieterse in 1 9 3 0 s penthouse rainy window, oil painting, by enoch bolles, greg rutkowski, ross tran, artgerm, wlop glossy skin, intricate architectural detail, pearlescent, very coherent, cute ",5329356,70.0
"portrait of two women staring into eachothers eyes, in the style of “ sappho and erinna in the garden mytelene ” by simeon solomon, intricate details, high detail, super - flat ",1959697216,70.0
the lower back of a beautiful woman. painting by milo manara and diego velazquez ,1224715059,70.0
"hyper realistic painting of the persephone, detailed and perfect face, perfect and proportional body, black skin, sensual, in the style of wayne barlowe, gustav moreau, goward, gaston bussiere and roberto ferri, santiago caruso, and austin osman spare, bouguereau, mucha, saturno butto, sorayama. occult art",10569463,70.0
"detailed portrait of a beautiful emma watsonmega booty, painting by gaston bussiere, craig mullins, j. c. leyendecker ",710148183,70.0
"The final outcome, illustration, sexy, chaotic, god, mist, background beyond imagination, volumetric lighting, soft lighting, soft details, painting oil on canvas by William-Adolphe Bouguereau and Edmund Blair Leighton, octane render, HDR, trending on artstation, 4k, 8k, HD",970303876,70.0
"Sophia Lillis as a satyr full body portrait, seductive, sexy, intricate, digital painting, old english, whimsical background by marc simonetti, artwork by liam wong",731736197,70.0
seinfeld body paint human form detailed photography vector cutout zbrush ,1029127,70.0
"woman with shiny skin lying on the grass dressed in roman clothes, ultra detailed, Guido Reni style",90099607,70.0
low-poly high-light edge edged polygonal the Bather by Bouguereau,1080265,70.0
"a woman posing, in a lakem wearing a bikini, backlit, photo by Marat Safin, Canon EOS R3, f/1.4, ISO 200, 1/160s, 8K, RAW, unedited, symmetrical balance, in-frame",1405933418,70.0
"a photo of a dark - skinned greek god apollo with short curly hair and thin eyebrows, digital art by edward hopper, vibrant color scheme, highly detailed, in the style of romanticism, fine art, great lighting, 8 k resolution, clear eyes, soft lighting, soft details, painting oil on canvas",1000734,60.0
curvy woman on a horse painting by bouguereau full body,428852425,60.0
"perky yael shelbia on bed. symmetry face, fine details, intricate, elegant, illustration, matte, art by wlop and artgerm and greg rutkowski and alphonse mucha and kidmo, raytracing, octane, unreal engine, trending on artstation ",5329356,60.0
"surreal grotesque kitsch low-brow Jenna Jameson emerging from deep shadows eating hamburgers, extra onions and ketchup, luscious patty with sesame seeds, figure in the darkness, serving big macs, french fry pattern ambience, Francisco Goya, painted by John Singer Sargant",905357086,60.0
"3 d cutaway poster design, full body anatomical model, 3 d photographic render of a deconstructed asymmetric human anatomical correct human body, in hoc signo vinces, waterfall, in the style of leonora carrington, gottfried helnwein, intricate composition, blue light by caravaggio",2090725812,60.0
"Portrait of a sad looking beautiful teenage boy, around 21 yo, natural brown hair and smooth pale skin. Shirtless. Award winning photograph.",101938,60.0
a hot shirtless 2 0 years old man with abs and bisceps cooking pancakes ,5329356,60.0
"a golden sculpture of girl body with stunning blue dress in a dark jungle landscape, oil painting by rembrandt ",23616105,60.0
"young woman by a river, playful, female, muscular, detailed face, thighs, gorgeous, amazing, muscular, intricate, highly detailed, painting by Gaston Bussiere, Craig Mullins",717306531,60.0
"a painting of a female model in victorian times, fully body shot ",1867933550,60.0
"annasophia robb as aphrodite, white cloth, long braided blond hair, intricate, highly detailed, digital painting, artstation, concept art, sharp focus, illustration, bouguereau, rutkowski, mucha",152163583,60.0
modern woman | muscular | hyperrealistic | action pose | digital painting | trending on artstation | pinup portrait | clean | illustration | dressed | unreal engine 5 | 8 k resolution | rubenesque | by greg rutkowski alphonse mucha gustav klimt and mel ramos ,1241688673,60.0
Artemisia Gentileschi painting of female body,27392085,60.0
"epic masterpiece full body portrait  sasha luss, beautiful face and flawless skin, perfect hands by Edgar Maxence and Ross Tran and Michael Whelan, Boris Vallejo, Luis Royo, Frank Frazetta, Brom, Lorenzo Sperlonga, Gred Rutkowsky",1067278,60.0
"white trash girls, golden age, painting by gaston bussiere, craig mullins, j. c. leyendecker, tom of finland ",174490,60.0
"self portrait photography of a young woman in style of Francesca Woodman, soft light, volumetric lighting, highly detailed Realistic, Refined, Highly Detailed, natural outdoor soft pastel lighting colors scheme, outdoor fine art photography",964460563,60.0
"hyperrealist portrait in a river, full body green water algae by alphonse mucha and lucian freud and bouguereau, very detailed faces ",1853953579,60.0
out of focus!!!!!!!! closeup of a very pale woman's belly by jules joseph lefebvre and by nadav kander ,103801,60.0
"the illuminated mystic Rhodesian ridgeback and a man and a woman in love, softly lit from behind, full moon night in the jungle Portrait by Paul Bonner, oil on canvas",1318324121,60.0
"close up photo of a sportive sexy belly, drops of water, six pack, hyper realistic, textured skin, art photography ",1882906334,50.0
"puddles of blood, a statue made of white marble covered in blood, of an gorgeous futuristic cybernetic angel girl, prostheses, transhumanism, full body shot, perfect symmetrical body, perfect symmetrical face, hyper realistic, hyper detailed",1724137246,50.0
"a balloon body builder, closeup portrait. shot by bruce gilden using a leica with flash, kodak gold 3 5 mm film ",145604,50.0
"a photography of a person in a bath tub, silent hill atmosphere, sharp focus, dramatic, dramatic lighting, elegant, harmony, masterpiece, by jenny saville, illustration, ink draw, pen ",1089959,50.0
"mills and boon romance novel cover with cthulhu and eva mendes, they are in love, by william - adolphe bouguereau, digital painting, artstation, concept art, smooth, sharp focus, warm lighting, ",165658829,50.0
"a woman enraged, part by Jenny Saville, part by John Singer Sargent",10753651,50.0
"attractive clown girl , hourglass slim figure , juicy , anatomy , only two hands , full body shot close up , lying at the bed , face down , from behind , view from above , short hair , seductive smile , details, sharp focus , illustration , anime",1011886,50.0
"attractive girl , hourglass slim figure , juicy , anatomy , only two hands , full body shot close up , lying at the bed , pajamas , face down , from behind , view from above , short hair , seductive smile , details, sharp focus , illustration , anime",109492,50.0
"beautiful sexy woman photo, full body shot, torso, legs, perfect face, ",2087037133,50.0
"beautiful digital art of the girl in bikini, passion, renaissance, atmospheric dramatic lighting, pieter paul rubens, rutkovski, beksinski, ultra detailed, cinematic, masterpiece, behance contest winner, best of artstation ",1002557568,50.0
pre-Raphaelite male muscular athletic gamers playing games on laptops by Bouguereau,76370162,50.0
hyperrealism photography computer simulation visualisation of parallel universe detailed bath in the garden in surreal scene from art house futuristic movie by caravaggio ,1019136,50.0
"hygge bedroom, rgb, thin, model, short black curly hair, round face, laced lingerie, amazing composition & dynamic posing, by franz xavier leyendecker, wlop! muted colors, highly detailed, fantasy art by craig mullins, thomas kinkade cfg _ scale 9 ",1071478587,50.0
hot sexy girl,384486271,50.0
"an attractive woman, boudoir photoshoot ",18935364,50.0
Seductive Smelly Adult Harry Potter with body hair,641248303,50.0
"lauren's stomach hurting after drinking too much alcohol, oil on canvas, intricate, portrait, 8 k highly professionally detailed, hdr, cgsociety ",470894534,50.0
"painted portrait of a clothed shy modern wife blessed by god to grow immaculately attractive and perfect. blonde, gifted holy body! light effect. feminine, fertile, hyper detailed, intricate, elegant, fertility, concept art, digital painting, artstation, smooth, sharp focus",768118908,50.0
"sexy seductive little smile sophia vergara in nurse by agnes cecile enki bilal moebius, intricated details, lingerie, 3 / 4 back view, hair styled in a bun, bend over posture, full body portrait, extremely luminous bright design, pastel colours, drips, autumn lights ",1024766,50.0
"photo portrait of a skinny girl body, no clothes, raised hands, white studio, white background, up light, black and white, highly detailed, cinematic, hyperrealism, dynamic lighting, octane render, ultra realistic, concept art, intricate details, photorealistic, 8 k, unreal engine ",607694600,50.0
"two cute anime characters huggig, realistic face, detailed face, short miniskirt, lightly dressed, bikini, ultra detailed digital art, pantsu, hyper real, detailed, ultra detailed, ground up angle, full body shot, shimapan, wide angle, renaissance painting ",1030867624,50.0
"lee jin - eun emerging from pink bioluminescent wave in ivory cyberpunk theme by edward okun, rule of thirds, seductive look, beautiful ",259556,50.0
"a portrait of christina hendricks body by gustave courbet, ",1974323172,50.0
"beautiful girl posing with a man with no clothes in the dark studio, hard lightning flood on their body, digital illustration by ruan jia on artstation - w 1 0 8 8 ",235377856,50.0
"a painter in his studio painting a colourful picture of venus de milo by edgar maxence and caravaggio and michael whelan and delacroix style, artistic, intricate painting, cinematic lighting, hyper realistic, extremely detailed, establishing shot, 8 k resolution, dramatic lighting ",1458383101,50.0
"vivid by edwin henry landseer. a beautiful conceptual art. her cell is as bare as mine. she is sitting in the middle, hugging her knees, wrapped in a toga - like garment. ",1092142076,50.0
woman in a bathtub. painting by fuchs ernst ,987564821,50.0
"hyperdetailed portrait of a buxom princess, hyperdetailed background overgrown swamp, thick fog, dynamic pose, wet gown, glowing lights, rendered textured digital sculpture, artstation, smooth, in the style of norman rockwell and alphonse mucha and greg rutkowski ",1781365277,50.0
"Lower back of a beautiful woman, painted by Milo Manara",25472933,50.0
the lower back of a beautiful woman. painting by milo manara and arthur rackham ,883841136,50.0
"burt Reynolds  art by Hajime Sorayama and Artemisia Gentileschi, centered, symmetrical, led, red, bilateral symmetry, third person, 70s poster, blade runner, kubrik, 2D matte illustration",2004324,50.0
"swimming through the river hades. sir lawrence alma - tadema, john william godward, arnold bocklin, herbet james draper, caravaggio, ",5329356,50.0
large group of pre-Raphaelite muscular athletic male gamers wearing headsets and playing video-games on laptops playstation5 x-box and PC by Bouguereau and raphael,154050,50.0
